Subject,Age,Sem1,Tone,Sem2,Gender,Accent,silence
101,5.5,84.001,162.501,237.497,319.502,401.495,"61.498, 139.999, 218.499, 293.495, 375.5, 457.493"
102,5.5,84,162.501,237.509,394.497,319.501,"61.498, 140.425, 218.499, 293.507, 375.499, 450.508"
103,322.999,80.501,401.499,159.001,241.007,5.506,"61.504, 136.499, 214.999, 297.005, 378.997, 457.497"
104,244.501,398.356,169.506,87.5,5.508,323.001,"61.506, 143.498, 225.504, 300.499, 379.012, 454.007"
105,5.5,234.004,84,394.51,312.504,159.009,"61.498, 139.998, 215.007, 290.002, 368.502, 450.508"
106,398.714,5.506,248.004,84.006,165.998,322.999,"61.504, 140.004, 222.009, 304.002, 378.997, 454.005"
107,80.506,398,5.497,240.999,159.007,323.005,"61.509, 136.504, 215.005, 296.997, 379.003, 454.371"
108,159.013,5.503,84.004,319.506,237.5,401.498,"61.501, 140.002, 214.997, 293.498, 375.504, 457.51"
109,323.004,244.504,5.497,162.498,80.506,401.505,"61.508, 136.504, 218.509, 300.502, 379.002, 457.809"
110,398.308,155.503,80.507,316.009,234.003,5.499,"61.71, 136.505, 211.501, 290.001, 372.007, 453.999"
111,244.509,398.005,5.743,80.551,162.504,322.996,"61.501, 136.509, 218.848, 300.507, 379.674, 454.35"
112,87.509,398.259,248.002,166.009,5.503,322.997,"61.688, 143.507, 222.007, 304, 379.008, 454.243"
113,322.996,169.501,248.001,5.503,87.509,401.496,"61.501, 143.506, 225.499, 304.505, 379.007, 457.508"
114,5.629,83.996,162.497,237.585,394.506,319.497,"61.507, 140.007, 218.508, 293.503, 375.508, 450.504"
115,323,244.5,5.506,169.504,401.5,87.499,"61.584, 143.497, 225.502, 300.498, 378.998, 457.498"
116,80.497,315.998,5.501,394.498,234.006,158.997,"61.499, 136.508, 215.008, 290.124, 372.009, 450.496"
